,Person,Publication,Brief note,"Type of relationship (writer, reader, etc)",Date written for publication,Volume/Issue/Number,Explanation of link between person and publication,Year
75,Ezekiel Mphalele,East Africa Journal,Writer,Contributor,February 1965,"Vol 1, no.9",,1965.0
76,Tom Mboya,East Africa Journal,Politician,Contributor,March 1965,"Vol 1, no.10",,1965.0
77,Yash Ghai,East Africa Journal,Academic,Contributor,March 1965,"Vol 1, no.10",,1965.0
78,Wilbert Chagula,East Africa Journal,Academic,Contributor,May 1964,"Vol 1, no.2",,1964.0
79,Ezekiel Mphalele,East Africa Journal,Writer,Contributor,June 1964,"Vol 1, no.3",,1964.0
80,Pamela Mboya,East Africa Journal,Activist,Contributor,June 1964,"Vol 1, no. 3",,1964.0
81,Dharam Ghai,East Africa Journal,Academic,Contributor,June 1964,"Vol 1, no. 3",,1964.0
82,Ali Mazrui,East Africa Journal,Academic,Contributor,October 1964,"Vol 1, no. 6",,1964.0
83,Tom Mboya,East Africa Journal,Politician,Contributor,October 1964,"Vol 1, no. 6",,1964.0
84,Michael Kamaliza,East Africa Journal,Politician,Contributor,November 1964,"Vol 1, no 7",,1964.0
85,Tom Mboya,East Africa Journal,Politician,Contributor,May 1969,"Vol 6, no. 5",,1969.0
86,Boloki Chango Machyo,East Africa Journal,Politician,Contributor,February 1970,"Vol 7, no. 2",,1970.0
87,Dharam Ghai,East Africa Journal,Academic,Contributor,March 1970,"Vol 7, no. 3",,1970.0
88,Philip Ochieng,Ghala,Journalist; editor,Co-editor,July 1968,"Vol 5, no. 7",Vol & issue number are of EAJ,1968.0
89,Leonard Kibera,Ghala,,Co-editor,July 1968,"Vol 5, no. 7",,1968.0
90,Terry Hirst,Ghala,Journalist; academic,Contributor,July 1968,"Vol 5, no. 7",,1968.0
91,Joseph Kimura,Ghala,,Contributor,July 1968,"Vol 5, no. 7",,1968.0
92,Jagjit Singh,Ghala,,Contributor,July 1968,"Vol 5, no. 7",,1968.0
93,Grace Ogot,Ghala,Writer,Contributor,July 1968,"Vol 5, no. 7",,1968.0
94,Elvania Zirimu,Ghala,,Contributor,July 1968,"Vol 5, no. 7",,1968.0
95,Kenneth Watene,Ghala,,Contributor,July 1968,"Vol 5, no. 7",,1968.0
96,James Gecau,Ghala,,Contributor,July 1968,"Vol 5, no. 7",,1968.0
97,Duncan Gichangi,Ghala,,Contributor,July 1968,"Vol 5, no. 7",,1968.0
98,Wilson Mativo,Ghala,,Contributor,July 1968,"Vol 5, no. 7",,1968.0
99,E.S. Atieno Odhiambo,Ghala,Academic,Contributor,July 1968,"Vol 5, no. 7",,1968.0
100,Tony Mphalele,Ghala,Writer,Contributor,July 1968,"Vol 5, no. 7",Son of Ezekiel/Es'kia,1968.0
101,Albert Ojuka,Ghala,,Contributor,July 1968,"Vol 5, no. 7",,1968.0
102,Marjorie Oludhe-Macgoye,Ghala,Writer,Contributor,July 1968,"Vol 5, no. 7",,1968.0
103,Okello Oculi,Ghala,Writer,Contributor,July 1968,"Vol 5, no. 7",,1968.0
104,Okot p'Bitek,East Africa Journal,Writer,Contributor,August 1969,"Vol 6, no.8",,1969.0
105,Yash Ghai,East Africa Journal,Academic,Contributor,August 1969,"Vol 6, no.8",,1969.0
106,Ali Mazrui,East Africa Journal,Academic,Contributor,November 1970,"Vol 7, no.11",,1970.0
107,E.S. Atieno Odhiambo,East Africa Journal,Academic,Contributor,November 1970,"Vol 7, no.11",,1970.0
108,Dharam Ghai,East Africa Journal,Academic,Contributor,November 1970,"Vol 7, no.11",,1970.0
109,Ali Mazrui,East Africa Journal,Academic,Contributor,May 1972,"Vol 9, no. 5",,1972.0
110,E.S. Atieno Odhiambo,East Africa Journal,Academic,Contributor,May 1972,"Vol 9, no. 5",,1972.0
111,Dharam Ghai,East Africa Journal,Academic,Contributor,May 1972,"Vol 9, no. 5",,1972.0
112,Ali Mazrui,East Africa Journal,Academic,Contributor,April 1969,"Vol 6, no. 4",,1969.0
113,Boloki Chango Machyo,East Africa Journal,Academic,Contributor,February 1969,"Vol 6, no.2",,1969.0
114,Okot p'Bitek,East Africa Journal,Writer,Contributor,February 1969,"Vol 6, no.2",,1969.0
115,Grace Ogot,East Africa Journal,Writer,Contributor,November 1968,"Vol 5, no. 11",,1968.0
116,Lennard Okola,Ghala,,Editor,January 1972,"Vol 9, no.1",Volume & issue number refer to EAJ,1972.0
117,Grace Ogot,East Africa Journal,Writer,Contributor,,,,
118,Peter Nazareth,East Africa Journal,Writer,Contributor,,,,
119,Okot p'Bitek,East Africa Journal,Writer,Contributor,,,,
120,Marjorie Oludhe-Macgoye,East Africa Journal,Writer,Contributor,,,,
121,Abu Mayanja,Transition,Intellectual,Contributor,April 1968,,,1968.0
122,Boaz Omori,Baraza,Journalist,Contributor,1950s,,,1950.0
123,Boaz Omori,Daily Nation,Journalist,Editor,1963-1972,,,1972.0
124,Micere Mugo,Penpoint,,Contributor,February 1964,Issue 16,,1964.0
125,Micere Mugo,Penpoint,,Contributor,March 1965,Issue 18,,1965.0
