,Person,Brief note,Publication,"Type of relationship (writer, reader, etc)",Date written for publication,Volume/Issue/Number,Date established,Date closed down,Year
56,David Rubadiri,"Diplomat, academic, playwright, poet",Penpoint,Contributor,August 1968,Issue 23,,,1968.0
57,David Rubadiri,,Dhana,Contributor,1971,"Vol 1, No. 1",,,1971.0
58,Pio Zirimu,"Academic, linguist",Dhana,Contributor,1971,"Vol 1, No. 1",,,1971.0
59,Francis Khamisi,,Baraza,Editor,1961,,,,1961.0
60,Shaaban Robert,,Mambo Leo,Contributor,,,,,
61,Clement Ndulute,,Ghala (East Africa Journal's special issue on creative writing),Editor,1972,"Vol 2, No. 2",,,1972.0
62,Mukotani Rugyendo,,Umma,Editor,1971,"Vol 1, No. 2",,,1971.0
63,Mukotani Rugyendo,,Umma,Editor,1972,"Vol 2, No. 1",,,1972.0
64,Marjorie Macgoye,,Transition,Contributor,April 1966,"Vol 6 (ii), No. 27",,,1966.0
65,Peter Nazareth,,Transition,Contributor,February/March 1967,"Vol 6, No. 29",,,1967.0
66,Ali Mazrui,Academic,East Africa Journal,Contributor,September 1969,"Vol 6, No. 9",,,1969.0
67,Dharam Ghai,Academic,East Africa Journal,Associate Editor,,,,,
68,Dharam Ghai,Academic,East Africa Journal,Contributor,September 1969,"Vol 6, No. 9",,,1969.0
69,Dennis Akumu,Trade unionist,East Africa Journal,Contributor,September 1969,"Vol 6, No. 9",,,1969.0
70,Colin Legum,Journalist,East Africa Journal,Contributor,September 1969,"Vol 6, No. 9",,,1969.0
71,John Okumu,Academic,East Africa Journal,Associate Editor,,,,,
72,Isaria Kimambo,Academic,East Africa Journal,Associate Editor,,,,,
73,Milton Obote,Politician,East Africa Journal,Contributor,September 1969,"Vol 6, No.9",,,1969.0
74,Peter Anyang-Nyongo,Academic,East Africa Journal,Contributor,March 1971,"Vol 8, no. 4",,,1971.0
75,Ezekiel Mphalele,Writer,East Africa Journal,Contributor,February 1965,"Vol 1, no.9",,,1965.0
76,Tom Mboya,Politician,East Africa Journal,Contributor,March 1965,"Vol 1, no.10",,,1965.0
77,Yash Ghai,Academic,East Africa Journal,Contributor,March 1965,"Vol 1, no.10",,,1965.0
78,Wilbert Chagula,Academic,East Africa Journal,Contributor,May 1964,"Vol 1, no.2",,,1964.0
79,Ezekiel Mphalele,Writer,East Africa Journal,Contributor,June 1964,"Vol 1, no.3",,,1964.0
80,Pamela Mboya,Activist,East Africa Journal,Contributor,June 1964,"Vol 1, no. 3",,,1964.0
81,Dharam Ghai,Academic,East Africa Journal,Contributor,June 1964,"Vol 1, no. 3",,,1964.0
82,Ali Mazrui,Academic,East Africa Journal,Contributor,October 1964,"Vol 1, no. 6",,,1964.0
83,Tom Mboya,Politician,East Africa Journal,Contributor,October 1964,"Vol 1, no. 6",,,1964.0
84,Michael Kamaliza,Politician,East Africa Journal,Contributor,November 1964,"Vol 1, no 7",,,1964.0
85,Tom Mboya,Politician,East Africa Journal,Contributor,May 1969,"Vol 6, no. 5",,,1969.0
86,Boloki Chango Machyo,Politician,East Africa Journal,Contributor,February 1970,"Vol 7, no. 2",,,1970.0
87,Dharam Ghai,Academic,East Africa Journal,Contributor,March 1970,"Vol 7, no. 3",,,1970.0
88,Philip Ochieng,Journalist; editor,Ghala (East Africa Journal's special issue on creative writing ,Co-editor,July 1968,"Vol 5, no. 7",Vol & issue number are of EAJ,,1968.0
89,Leonard Kibera,,Ghala (East Africa Jornal's special issue on creative writing),Co-editor,July 1968,"Vol 5, no. 7",,,1968.0
90,Terry Hirst,Journalist; academic,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
91,Joseph Kimura,,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
92,Jagjit Singh,,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
93,Grace Ogot,Writer,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
94,Elvania Zirimu,,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
95,Kenneth Watene,,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
96,James Gecau,,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
97,Duncan Gichangi,,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
98,Wilson Mativo,,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
99,E.S. Atieno Odhiambo,Academic,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
100,Tony Mphalele,Writer,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",Son of Ezekiel/Es'kia,,1968.0
101,Albert Ojuka,,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
102,Marjorie Oludhe-Macgoye,Writer,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
103,Okello Oculi,Writer,Ghala (East Africa Jornal's special issue on creative writing),Contributor,July 1968,"Vol 5, no. 7",,,1968.0
104,Okot p'Bitek,Writer,East Africa Journal,Contributor,August 1969,"Vol 6, no.8",,,1969.0
105,Yash Ghai,Academic,East Africa Journal,Contributor,August 1969,"Vol 6, no.8",,,1969.0
106,Ali Mazrui,Academic,East Africa Journal,Contributor,November 1970,"Vol 7, no.11",,,1970.0
107,E.S. Atieno Odhiambo,Academic,East Africa Journal,Contributor,November 1970,"Vol 7, no.11",,,1970.0
108,Dharam Ghai,Academic,East Africa Journal,Contributor,November 1970,"Vol 7, no.11",,,1970.0
109,Ali Mazrui,Academic,East Africa Journal,Contributor,May 1972,"Vol 9, no. 5",,,1972.0
110,E.S. Atieno Odhiambo,Academic,East Africa Journal,Contributor,May 1972,"Vol 9, no. 5",,,1972.0
111,Dharam Ghai,Academic,East Africa Journal,Contributor,May 1972,"Vol 9, no. 5",,,1972.0
112,Ali Mazrui,Academic,East Africa Journal,Contributor,April 1969,"Vol 6, no. 4",,,1969.0
113,Boloki Chango Machyo,Academic,East Africa Journal,Contributor,February 1969,"Vol 6, no.2",,,1969.0
114,Okot p'Bitek,Writer,East Africa Journal,Contributor,February 1969,"Vol 6, no.2",,,1969.0
115,Grace Ogot,Writer,East Africa Journal,Contributor,November 1968,"Vol 5, no. 11",,,1968.0
116,Lennard Okola,,Ghala (East Africa Journal's special issue on creative writing),Editor,January 1972,"Vol 9, no.1",Volume & issue number refer to EAJ,,1972.0
117,Grace Ogot,Writer,East Africa Journal,Contributor,,,,,
118,Peter Nazareth,Writer,East Africa Journal,Contributor,,,,,
119,Okot p'Bitek,Writer,East Africa Journal,Contributor,,,,,
120,Marjorie Oludhe-Macgoye,Writer,East Africa Journal,Contributor,,,,,
