Name,Description,Date,Place
African Writers Conference,Officially titled "Conference of African Writers of English Expression". Held at Makerere College in Kampala. First major gathering of writers in Africa. ,11-17 June 1962,
Conference for the Pan-African Freedom Movement for East and Central Africa,"Held in Mwanza, Tanganyika to establish PAFMECA",16-18 September 1958,
Conference for the Pan-African Freedom Movement for East and Central Africa,"Held in Zanzibar, Tanganyika",April 1959,
Conference for the Pan-African Freedom Movement for East and Central Africa,"Held in Moshi, Tanganyika",September 1959,
Conference for the Pan-African Freedom Movement for East and Central Africa,"Held in Addis Ababa, Ethiopia",February 1962,
UNESCO conference,Dar es Salaam,July 1971,
